"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"124","2019-08-06","12:43:19","54:40","11.887",,,
"124","2019-08-06","12:43:19","54:50","11.948",,,
"124","2019-08-06","12:43:19","55:00","12.162",,,
"124","2019-08-06","12:43:19","55:10","11.826",,,
"124","2019-08-06","12:43:19","55:20","11.582",,,
"124","2019-08-06","12:43:19","55:30","11.43",,,
"124","2019-08-06","12:43:19","55:40","11.613",,,
"124","2019-08-06","12:43:19","55:50","11.613",,,
"124","2019-08-06","12:43:19","56:00","11.308",,,
"124","2019-08-06","12:43:19","56:10","10.79",,,
"124","2019-08-06","12:43:19","56:20","10.577",,,
"124","2019-08-06","12:43:19","56:30","10.394",,,
"124","2019-08-06","12:43:19","56:40","10.18",,,
"124","2019-08-06","12:43:19","56:50","9.876",,,
"124","2019-08-06","12:43:19","57:00","9.327",,,
"124","2019-08-06","12:43:19","57:10","8.778",,,
"124","2019-08-06","12:43:19","57:20","8.565",,,
"124","2019-08-06","12:43:19","57:30","8.809",,,
"124","2019-08-06","12:43:19","57:40","8.748",,,
"124","2019-08-06","12:43:19","57:50","8.504",,,
"124","2019-08-06","12:43:19","58:00","8.626",,,
"124","2019-08-06","12:43:19","58:10","8.443",,,
"124","2019-08-06","12:43:19","58:20","8.26",,,
"124","2019-08-06","12:43:19","58:30","8.291",,,
"124","2019-08-06","12:43:19","58:40","8.443",,,
"124","2019-08-06","12:43:19","58:50","8.687",,,
"124","2019-08-06","12:43:19","59:00","8.473",,,
"124","2019-08-06","12:43:19","59:10","8.412",,,
"124","2019-08-06","12:43:19","59:20","8.565",,,
"124","2019-08-06","12:43:19","59:30","8.626",,,
"124","2019-08-06","12:43:19","59:40","8.321",,,
"124","2019-08-06","12:43:19","59:50","8.352",,,
"124","2019-08-06","12:43:19","60:00","8.352",,,
"124","2019-08-06","12:43:19","60:10","8.687",,,
"124","2019-08-06","12:43:19","60:20","8.382",,,
"124","2019-08-06","12:43:19","60:30","8.23",,,
"124","2019-08-06","12:43:19","60:40","8.504",,,
"124","2019-08-06","12:43:19","60:50","8.839",,,
"124","2019-08-06","12:43:19","61:00","8.809",,,
"124","2019-08-06","12:43:19","61:10","8.26",,,
"124","2019-08-06","12:43:19","61:20","8.565",,,
"124","2019-08-06","12:43:19","61:30","8.839",,,
"124","2019-08-06","12:43:19","61:40","8.443",,,
"124","2019-08-06","12:43:19","61:50","8.565",,,
"124","2019-08-06","12:43:19","62:00","8.321",,,
"124","2019-08-06","12:43:19","62:10","8.352",,,
"124","2019-08-06","12:43:19","62:20","8.26",,,
"124","2019-08-06","12:43:19","62:30","7.681",,,
"124","2019-08-06","12:43:19","62:40","7.711",,,
"124","2019-08-06","12:43:19","62:50","7.254",,,
"124","2019-08-06","12:43:19","63:00","6.828",,,
"124","2019-08-06","12:43:19","63:10","7.315",,,
"124","2019-08-06","12:43:19","63:20","7.894",,,
"124","2019-08-06","12:43:19","63:30","7.742",,,
"124","2019-08-06","12:43:19","63:40","7.711",,,
"124","2019-08-06","12:43:19","63:50","7.864",,,
"124","2019-08-06","12:43:19","64:00","8.169",,,
"124","2019-08-06","12:43:19","64:10","7.986",,,
"124","2019-08-06","12:43:19","64:20","7.163",,,
"124","2019-08-06","12:43:19","64:30","6.888",,,
"124","2019-08-06","12:43:19","64:40","6.645",,,
"124","2019-08-06","12:43:19","64:50","6.614",,,
"124","2019-08-06","12:43:19","65:00","6.523",,,
"124","2019-08-06","12:43:19","65:10","6.523",,,
"124","2019-08-06","12:43:19","65:20","6.309",,,
"124","2019-08-06","12:43:19","65:30","6.553",,,
"124","2019-08-06","12:43:19","65:40","6.126",,,
"124","2019-08-06","12:43:19","65:50","6.035",,,
