OTU	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu4479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0
Zotu448	0	0	268	27	21	196	228	144	7	48	0	173	633	0	4	123	54	0	325	296	710	688	249	632	0	263	36	236	234	471	428	174	196	0	50	329	224	933	467	0
Zotu4480	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	85	0	0	0	0	0
Zotu4483	0	0	0	0	0	36	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0
Zotu4486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
Zotu4487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
Zotu4489	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu449	0	0	37	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	70	0	0	5	74	48	0	34	17	18	219	41	48	0	1	0	0	145	0	70	0	0
Zotu4490	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	30	0	0	0
Zotu4491	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	16	0	0	0	0
Zotu4498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	4	0	10	0	4	0	7	0	3	0	0	0	0	0	0	0	0	0	0
Zotu4499	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0
Zotu45	0	0	67	0	0	0	5	88	7166	1	0	194	0	0	0	312	118	0	4	0	0	79	551	133	0	80	0	40	196	69	4	0	58	0	0	12	394	11	25	0
Zotu450	0	0	48	0	0	21	70	3	0	5	0	23	0	0	0	4	0	0	207	2	30	63	112	73	0	16	36	20	14	29	43	19	13	0	73	13	34	29	106	0
Zotu4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
Zotu4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	35	0	0	0	0
Zotu4505	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	1	0	0	0	22	0	1	0	1	0	2	3	1	1	0	0	0	0	0	1	1	0	0	0	0
Zotu4506	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	11	7	4	0	0	0	0	0	0	0	0	0	0
Zotu4507	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	2	0	0	6	10	0	0	1	0	5	0	0	0	3	0	7	0	0
Zotu4508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4509	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
Zotu451	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1139	0	0	0	0	0	0	0	121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4510	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	2	0	2	0	4	0	8	0	0	8	0	0	0	0	0	0	0
Zotu4511	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	3	1	2	0	0	0	0	0	0	31	1	0	0	0	0
Zotu4512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
Zotu4514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0
Zotu4515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	18	0	6	1	0	0	0	0	0	0	6	0	0	0	0
Zotu4516	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	7	0	0	0	0	0	2	0	0	0	0	5	0	0	0	7	0
Zotu4519	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4520	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	42	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4524	0	0	1	0	0	12	0	0	0	0	0	14	77	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0	0	0
Zotu4526	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu453	0	0	0	0	1038	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	156	0	0	0
Zotu4531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
Zotu4533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	33	0	0	0	0	0
Zotu4535	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4537	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4539	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	16	1	0	4	5	0	0	0	0	0	0	0	0	0
Zotu454	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	3	0	7	0	16	75	5	0	33	37	0	836	0	0	21	28	0
