OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu22	1571	853	15349	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu220	0	0	0	0	18	0	0	0	85	2	1	35	0	40	0	0	1513	51	84	0	58	18	1	52	76	13	14	4	10	1	74	28	13	24	11	0	52	50	39	61	0
Zotu2204	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	17	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Zotu2208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	26	0	0	1	0	0	0
Zotu2211	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Zotu2213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	1	0	0	0
Zotu2221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu223	0	0	0	0	30	0	1	3	79	23	0	29	0	51	22	0	8	21	119	0	27	7	21	34	2	0	50	110	168	12	10	54	5	104	10	0	16	57	9	2	0
Zotu2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu225	0	0	0	0	0	0	0	0	80	4	0	24	0	0	0	0	0	0	18	0	0	0	0	0	64	164	0	0	0	0	108	86	37	53	0	0	0	0	274	175	0
Zotu2258	0	0	0	0	0	0	39	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Zotu226	0	0	0	0	103	0	0	5	0	0	0	0	0	135	116	0	0	8	17	0	360	24	37	7	3	17	66	290	25	18	19	9	0	0	54	0	149	27	20	4	0
Zotu2260	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	1	0	0	0	2	4	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	8	0
Zotu227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu2275	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu228	0	0	0	0	0	851	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0
Zotu2287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	6	15	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
Zotu2290	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu2291	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0
Zotu23	0	0	0	0	0	19201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
Zotu230	0	0	0	0	0	0	0	4	0	7	0	2	0	0	0	0	0	16	1	0	0	0	16	79	163	210	0	0	0	0	95	29	81	103	0	0	0	0	36	55	0
Zotu2301	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	7	0
Zotu2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	32	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Zotu231	0	0	0	0	22	6	76	0	0	24	23	0	0	32	98	180	140	1	0	0	32	71	10	12	0	0	0	4	184	0	0	11	39	21	0	0	20	11	4	0	0
Zotu2314	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2316	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	37	8	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0
Zotu232	0	0	0	0	0	408	0	0	0	0	0	0	0	1	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	3	0	0	0	0	0	0	0	0
Zotu2321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
